icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,anomaly,anomaly_score
4bc896,PGT3XH,Turkey,1753666597,1753666598,11.6908,49.2963,10675.62,False,230.8,111.99,-0.65,,10904.22,2221,False,0,0,0.2190809662716353
a82332,UPS24,United States,1753666597,1753666597,12.5021,46.0207,11277.6,False,266.97,120.96,0.65,,11567.16,1103,False,0,0,0.1721043257741003
a81bc4,UPS29,United States,1753666598,1753666598,10.1045,49.1911,10363.2,False,260.75,319.08,-0.33,,10553.7,3573,False,0,0,0.17557139612267353
4bb20a,THY2AM,Turkey,1753666597,1753666597,14.1683,48.2439,10058.4,False,221.22,125.06,-0.33,,10317.48,1147,False,0,0,0.20004678586794145
4bb194,THY9LC,Turkey,1753666598,1753666598,11.0668,48.329,11277.6,False,256.61,126.69,0.0,,11521.44,1143,False,0,0,0.19916332994676883
4ca960,NOS7083,Ireland,1753666491,1753666495,8.7378,45.6146,289.56,False,79.1,349.13,-3.9,,281.94,5506,False,0,1,-0.18158740440404375
89659b,ETD2,United Arab Emirates,1753666597,1753666598,6.5237,45.1347,11277.6,False,294.67,110.65,0.0,,11628.12,2374,False,0,0,0.10307616321972513
4b990b,FHY1346,Turkey,1753666597,1753666598,14.7497,48.0761,10668.0,False,232.1,125.35,0.0,,10911.84,6411,False,0,0,0.2561429368695648
780c5c,CAO3122,China,1753666597,1753666597,10.1369,49.3578,10972.8,False,260.92,49.56,0.0,,11170.92,2330,False,0,0,0.20648054739194283
4b9852,FHY1688,Turkey,1753666597,1753666597,11.5337,48.8268,10058.4,False,225.74,143.34,-0.33,,10279.38,7642,False,0,0,0.20557600775114387
4bce08,SXS8HD,Turkey,1753666598,1753666598,10.6561,49.7971,11277.6,False,233.76,140.18,0.0,,11498.58,6426,False,0,0,0.24685628223655642
4d010d,ICV8RG,Luxembourg,1753666597,1753666597,10.2832,45.8045,7360.92,False,204.5,251.98,-8.78,,7543.8,2322,False,0,0,0.02444187830697231
407faf,TOM407,United Kingdom,1753666598,1753666598,6.5014,49.0188,11582.4,False,228.55,294.89,0.0,,11841.48,6614,False,0,0,0.18115018261304233
407fad,TOM9KD,United Kingdom,1753666598,1753666598,11.536,49.0266,12192.0,False,240.19,296.46,0.0,,12489.18,6615,False,0,0,0.14037668020227045
49d357,PGT9JC,Czech Republic,1753666597,1753666598,11.5014,49.5079,5196.84,False,198.95,121.14,9.1,,5334.0,6412,False,0,1,-0.014677406722131248
407eeb,EXS75V,United Kingdom,1753666597,1753666598,13.6788,47.6903,10972.8,False,231.81,311.4,-0.33,,11231.88,505,False,0,0,0.2514847769650165
4cae21,BCS24J,Ireland,1753666597,1753666597,6.1189,46.6442,6385.56,False,208.15,228.71,-10.08,,6560.82,1000,False,0,0,0.0004245014707550121
503d00,PGT5QX,Lithuania,1753666597,1753666597,13.4572,48.6561,10668.0,False,232.58,124.18,0.0,,10934.7,7645,False,0,0,0.25402797352262496
407e56,HGO741,United Kingdom,1753666597,1753666597,9.9608,49.9176,10355.58,False,262.32,293.95,0.0,,10507.98,3252,False,0,0,0.17490811504007042
a48fbe,UPS260,United States,1753666597,1753666597,11.1309,45.957,4937.76,False,198.98,135.31,-7.48,,5074.92,2763,False,0,1,-0.003820513236795109
4d21a4,CXI6R,Malta,1753666597,1753666597,7.7169,49.3226,10972.8,False,225.93,313.99,0.0,,11155.68,1000,False,0,0,0.23313506980602416
3999e4,PEA302,France,1753666597,1753666597,5.5833,45.4484,6598.92,False,162.25,212.83,12.68,,6797.04,4060,False,0,1,-0.00457229316695551
407f7d,EXS97YF,United Kingdom,1753666597,1753666598,14.993,48.1384,10972.8,False,232.25,294.75,0.0,,11239.5,2642,False,0,0,0.25900086466203787
406add,EXS32HL,United Kingdom,1753666597,1753666597,11.9931,47.4091,10363.2,False,245.96,310.42,0.33,,10576.56,3540,False,0,0,0.20132220641412002
45ce47,UPS274,Denmark,1753666597,1753666598,13.6667,49.2558,11277.6,False,234.03,124.7,0.0,,11521.44,6432,False,0,0,0.2495830088985761
406a93,EZY75XU,United Kingdom,1753666598,1753666598,9.1665,48.9192,10972.8,False,237.15,300.79,0.0,,11186.16,3263,False,0,0,0.25385133291021256
4692d6,AEE543,Greece,1753666597,1753666597,10.6929,49.0201,11285.22,False,234.43,137.13,0.0,,11498.58,6421,False,0,0,0.2493585822936521
